phi_deg,psi_deg,r_pitch,r_profile,alpha_deg
0.0000,17.5811,106.4445,96.4445,0.0000
0.5000,17.5811,106.4445,96.4445,0.0000
1.0000,17.5811,106.4445,96.4445,0.0000
1.5000,17.5811,106.4445,96.4445,0.0000
2.0000,17.5811,106.4445,96.4445,0.0000
2.5000,17.5811,106.4445,96.4445,0.0000
3.0000,17.5811,106.4445,96.4445,0.0000
3.5000,17.5811,106.4445,96.4445,0.0000
4.0000,17.5811,106.4445,96.4445,0.0000
4.5000,17.5811,106.4445,96.4445,0.0000
5.0000,17.5811,106.4445,96.4445,0.0000
5.5000,17.5811,106.4445,96.4445,0.0000
6.0000,17.5811,106.4445,96.4445,0.0000
6.5000,17.5811,106.4445,96.4445,0.0000
7.0000,17.5811,106.4445,96.4445,0.0000
7.5000,17.5811,106.4445,96.4445,0.0000
8.0000,17.5811,106.4445,96.4445,0.0000
8.5000,17.5811,106.4445,96.4445,0.0000
9.0000,17.5811,106.4445,96.4445,0.0000
9.5000,17.5811,106.4445,96.4445,0.0000
10.0000,17.5811,106.4445,96.4445,0.0000
10.5000,17.5811,106.4445,96.4445,0.0000
11.0000,17.5811,106.4445,96.4445,0.0000
11.5000,17.5811,106.4445,96.4445,0.0000
12.0000,17.5811,106.4445,96.4445,0.0000
12.5000,17.5811,106.4445,96.4445,0.0000
13.0000,17.5811,106.4445,96.4445,0.0000
13.5000,17.5811,106.4445,96.4445,0.0000
14.0000,17.5811,106.4445,96.4445,0.0000
14.5000,17.5811,106.4445,96.4445,0.0000
15.0000,17.5811,106.4445,96.4445,0.0000
15.5000,17.5811,106.4445,96.4445,0.0000
16.0000,17.5811,106.4445,96.4445,0.0000
16.5000,17.5811,106.4445,96.4445,0.0000
17.0000,17.5811,106.4445,96.4445,0.0000
17.5000,17.5811,106.4445,96.4445,0.0000
18.0000,17.5811,106.4445,96.4445,0.0000
18.5000,17.5811,106.4445,96.4445,0.0000
19.0000,17.5811,106.4445,96.4445,0.0000
19.5000,17.5811,106.4445,96.4445,0.0000
20.0000,17.5811,106.4445,96.4445,0.0000
20.5000,17.5811,106.4445,96.4445,0.0000
21.0000,17.5811,106.4445,96.4445,0.0000
21.5000,17.5811,106.4445,96.4445,0.0000
22.0000,17.5811,106.4445,96.4445,0.0000
22.5000,17.5811,106.4445,96.4445,0.0000
23.0000,17.5811,106.4445,96.4445,0.0000
23.5000,17.5811,106.4445,96.4445,0.0000
24.0000,17.5811,106.4445,96.4445,0.0000
24.5000,17.5811,106.4445,96.4445,0.0000
25.0000,17.5811,106.4445,96.4445,0.0000
